id,product,cal_year,amount
1,UVL01,2016,25000
2,UVL01,2017,25000
3,UVL01,2018,25000
4,UVL01,2019,25000
5,UVL01,2020,25000
6,UVL01,2021,25000
7,UVL01,2022,25000
8,UVL01,2023,25000
9,UVL01,2024,25000
10,UVL01,2025,25000
11,UVL01,2026,25000
12,UVL01,2027,25000
13,UVL01,2028,25000
14,UVL01,2029,25000
15,UVL01,2030,25000
16,UVL01,2031,25000
17,UVL01,2032,25000
18,UVL01,2033,25000
19,UVL01,2034,25000
20,UVL01,2035,25000
21,UVL01,2036,25000
22,UVL01,2037,25000
23,UVL01,2038,25000
24,UVL01,2039,25000
25,UVL01,2040,25000
26,UVL01,2041,25000
27,UVL01,2042,25000
28,UVL01,2043,25000
29,UVL01,2044,25000
30,UVL01,2045,25000
31,UVL01,2046,25000
32,UVL01,2047,25000
33,UVL01,2048,25000
34,UVL01,2049,25000
35,UVL01,2050,25000
36,UVL01,2051,25000
37,UVL01,2052,25000
38,UVL01,2053,25000
39,UVL01,2054,25000
40,UVL01,2055,25000
41,UVL01,2056,25000
42,UVL01,2057,25000
43,UVL01,2058,25000
44,UVL01,2059,25000
45,UVL01,2060,25000
46,UVL01,2061,25000
47,UVL01,2062,25000
48,UVL01,2063,25000
49,UVL01,2064,25000
50,UVL01,2065,25000
51,UVL01,2066,25000
52,UVL01,2067,25000
53,UVL01,2068,25000
54,UVL01,2069,25000
55,UVL01,2070,25000
56,UVL01,2071,25000
57,UVL01,2072,25000
58,UVL01,2073,25000
59,UVL01,2074,25000
60,UVL01,2075,25000
61,UVL01,2076,25000
62,UVL01,2077,25000
63,UVL01,2078,25000
64,UVL01,2079,25000
65,UVL01,2080,25000
66,UVL01,2081,25000
67,UVL01,2082,25000
68,UVL01,2083,25000
69,UVL01,2084,25000
70,UVL01,2085,25000
71,UVL01,2086,25000
72,UVL01,2087,25000
73,UVL01,2088,25000
74,UVL01,2089,25000
75,UVL01,2090,25000
76,UVL01,2091,25000
77,UVL01,2092,25000
78,UVL01,2093,25000
79,UVL01,2094,25000
80,UVL01,2095,25000
81,UVL01,2096,25000
82,UVL01,2097,25000
83,UVL01,2098,25000
84,UVL01,2099,25000
85,UVL01,2100,25000
86,UVL01,2101,25000
87,UVL01,2102,25000
88,UVL01,2103,25000
89,UVL01,2104,25000
90,UVL01,2105,25000
91,UVL01,2106,25000
