id,product,year,tp_rate,ep_rate
1,UVL01,1,0.55,0.02
2,UVL01,2,0.4,0.02
3,UVL01,3,0.25,0.02
4,UVL01,4,0.2,0.02
5,UVL01,5,0.1,0.02
6,UVL01,6,0.07,0.02
7,UVL01,7,0.07,0.02
8,UVL01,8,0.04,0.02
9,UVL01,9,0.04,0.02
10,UVL01,10,0.02,0.02
11,UVL01,11,0.02,0.02
12,UVL01,12,0.02,0.02
13,UVL01,13,0.02,0.02
14,UVL01,14,0.02,0.02
15,UVL01,15,0.02,0.02
16,UVL01,16,0.02,0.02
17,UVL01,17,0.02,0.02
18,UVL01,18,0.02,0.02
19,UVL01,19,0.02,0.02
20,UVL01,20,0.02,0.02
21,UVL01,21,0.02,0.02
22,UVL01,22,0.02,0.02
23,UVL01,23,0.02,0.02
24,UVL01,24,0.02,0.02
25,UVL01,25,0.02,0.02
26,UVL01,26,0.02,0.02
27,UVL01,27,0.02,0.02
28,UVL01,28,0.02,0.02
29,UVL01,29,0.02,0.02
30,UVL01,30,0.02,0.02
31,UVL01,31,0.02,0.02
32,UVL01,32,0.02,0.02
33,UVL01,33,0.02,0.02
34,UVL01,34,0.02,0.02
35,UVL01,35,0.02,0.02
36,UVL01,36,0.02,0.02
37,UVL01,37,0.02,0.02
38,UVL01,38,0.02,0.02
39,UVL01,39,0.02,0.02
40,UVL01,40,0.02,0.02
41,UVL01,41,0.02,0.02
42,UVL01,42,0.02,0.02
43,UVL01,43,0.02,0.02
44,UVL01,44,0.02,0.02
45,UVL01,45,0.02,0.02
46,UVL01,46,0.02,0.02
47,UVL01,47,0.02,0.02
48,UVL01,48,0.02,0.02
49,UVL01,49,0.02,0.02
50,UVL01,50,0.02,0.02
51,UVL01,51,0.02,0.02
52,UVL01,52,0.02,0.02
53,UVL01,53,0.02,0.02
54,UVL01,54,0.02,0.02
55,UVL01,55,0.02,0.02
56,UVL01,56,0.02,0.02
57,UVL01,57,0.02,0.02
58,UVL01,58,0.02,0.02
59,UVL01,59,0.02,0.02
60,UVL01,60,0.02,0.02
61,UVL01,61,0.02,0.02
62,UVL01,62,0.02,0.02
63,UVL01,63,0.02,0.02
64,UVL01,64,0.02,0.02
65,UVL01,65,0.02,0.02
66,UVL01,66,0.02,0.02
67,UVL01,67,0.02,0.02
68,UVL01,68,0.02,0.02
69,UVL01,69,0.02,0.02
70,UVL01,70,0.02,0.02
71,UVL01,71,0.02,0.02
72,UVL01,72,0.02,0.02
73,UVL01,73,0.02,0.02
74,UVL01,74,0.02,0.02
75,UVL01,75,0.02,0.02
76,UVL01,76,0.02,0.02
77,UVL01,77,0.02,0.02
78,UVL01,78,0.02,0.02
79,UVL01,79,0.02,0.02
80,UVL01,80,0.02,0.02
81,UVL01,81,0.02,0.02
82,UVL01,82,0.02,0.02
83,UVL01,83,0.02,0.02
84,UVL01,84,0.02,0.02
85,UVL01,85,0.02,0.02
86,UVL01,86,0.02,0.02
87,UVL01,87,0.02,0.02
88,UVL01,88,0.02,0.02
89,UVL01,89,0.02,0.02
90,UVL01,90,0.02,0.02
91,UVL01,91,0.02,0.02
92,UVL01,92,0.02,0.02
93,UVL01,93,0.02,0.02
94,UVL01,94,0.02,0.02
95,UVL01,95,0.02,0.02
96,UVL01,96,0.02,0.02
97,UVL01,97,0.02,0.02
98,UVL01,98,0.02,0.02
99,UVL01,99,0.02,0.02
100,UVL01,100,0.02,0.02
101,UVL02,1,0.7,0.015
102,UVL02,2,0.45,0.015
103,UVL02,3,0.25,0.015
104,UVL02,4,0,0.015
105,UVL02,5,0,0.015
106,UVL02,6,0,0.015
107,UVL02,7,0,0.015
108,UVL02,8,0,0.015
109,UVL02,9,0,0.015
110,UVL02,10,0,0.015
111,UVL02,11,0,0.015
112,UVL02,12,0,0.015
113,UVL02,13,0,0.015
114,UVL02,14,0,0.015
115,UVL02,15,0,0.015
116,UVL02,16,0,0.015
117,UVL02,17,0,0.015
118,UVL02,18,0,0.015
119,UVL02,19,0,0.015
120,UVL02,20,0,0.015
121,UVL02,21,0,0.015
122,UVL02,22,0,0.015
123,UVL02,23,0,0.015
124,UVL02,24,0,0.015
125,UVL02,25,0,0.015
126,UVL02,26,0,0.015
127,UVL02,27,0,0.015
128,UVL02,28,0,0.015
129,UVL02,29,0,0.015
130,UVL02,30,0,0.015
131,UVL02,31,0,0.015
132,UVL02,32,0,0.015
133,UVL02,33,0,0.015
134,UVL02,34,0,0.015
135,UVL02,35,0,0.015
136,UVL02,36,0,0.015
137,UVL02,37,0,0.015
138,UVL02,38,0,0.015
139,UVL02,39,0,0.015
140,UVL02,40,0,0.015
141,UVL02,41,0,0.015
142,UVL02,42,0,0.015
143,UVL02,43,0,0.015
144,UVL02,44,0,0.015
145,UVL02,45,0,0.015
146,UVL02,46,0,0.015
147,UVL02,47,0,0.015
148,UVL02,48,0,0.015
149,UVL02,49,0,0.015
150,UVL02,50,0,0.015
151,UVL02,51,0,0.015
152,UVL02,52,0,0.015
153,UVL02,53,0,0.015
154,UVL02,54,0,0.015
155,UVL02,55,0,0.015
156,UVL02,56,0,0.015
157,UVL02,57,0,0.015
158,UVL02,58,0,0.015
159,UVL02,59,0,0.015
160,UVL02,60,0,0.015
161,UVL02,61,0,0.015
162,UVL02,62,0,0.015
163,UVL02,63,0,0.015
164,UVL02,64,0,0.015
165,UVL02,65,0,0.015
