id,product,gender,age,term,rate
1,UVL01,1,0,1,2.59
2,UVL01,1,0,2,1.82
3,UVL01,1,0,3,1.54
4,UVL01,1,0,4,1.4
5,UVL01,1,0,5,1.31
6,UVL01,1,0,6,1.24
7,UVL01,1,0,7,1.19
8,UVL01,1,0,8,1.14
9,UVL01,1,0,9,1.1
10,UVL01,1,0,10,1.07
11,UVL01,1,0,11,1.04
12,UVL01,1,0,12,1.03
13,UVL01,1,0,13,1.02
14,UVL01,1,0,14,1.02
15,UVL01,1,0,15,1.03
16,UVL01,1,0,16,1.04
17,UVL01,1,0,17,1.06
18,UVL01,1,0,18,1.07
19,UVL01,1,0,19,1.08
20,UVL01,1,0,20,1.1
21,UVL01,1,0,21,1.11
22,UVL01,1,0,22,1.12
23,UVL01,1,0,23,1.13
24,UVL01,1,0,24,1.13
25,UVL01,1,0,25,1.14
26,UVL01,1,0,26,1.14
27,UVL01,1,0,27,1.14
28,UVL01,1,0,28,1.15
29,UVL01,1,0,29,1.15
30,UVL01,1,0,30,1.15
31,UVL01,1,0,31,1.15
32,UVL01,1,0,32,1.16
33,UVL01,1,0,33,1.16
34,UVL01,1,0,34,1.16
35,UVL01,1,0,35,1.16
36,UVL01,1,0,36,1.16
37,UVL01,1,0,37,1.16
38,UVL01,1,0,38,1.17
39,UVL01,1,0,39,1.17
40,UVL01,1,0,40,1.17
41,UVL01,1,0,41,1.17
42,UVL01,1,0,42,1.17
43,UVL01,1,0,43,1.17
44,UVL01,1,0,44,1.17
45,UVL01,1,0,45,1.18
46,UVL01,1,0,46,1.18
47,UVL01,1,0,47,1.18
48,UVL01,1,0,48,1.18
49,UVL01,1,0,49,1.18
50,UVL01,1,0,50,1.18
51,UVL01,1,0,51,1.18
52,UVL01,1,0,52,1.19
53,UVL01,1,0,53,1.19
54,UVL01,1,0,54,1.19
55,UVL01,1,0,55,1.19
56,UVL01,1,0,56,1.19
57,UVL01,1,0,57,1.19
58,UVL01,1,0,58,1.19
59,UVL01,1,0,59,1.19
60,UVL01,1,0,60,1.19
61,UVL01,1,0,61,1.19
62,UVL01,1,0,62,1.19
63,UVL01,1,0,63,1.2
64,UVL01,1,0,64,1.2
65,UVL01,1,0,65,1.2
66,UVL01,1,0,66,1.2
67,UVL01,1,0,67,1.2
68,UVL01,1,0,68,1.2
