id,product,year,rate
1,UVL01,1,0
2,UVL01,2,0
3,UVL01,3,0
4,UVL01,4,0.06
5,UVL01,5,0
6,UVL01,6,0
7,UVL01,7,0
8,UVL01,8,0.12
9,UVL01,9,0
10,UVL01,10,0
11,UVL01,11,0
12,UVL01,12,0.18
13,UVL01,13,0
14,UVL01,14,0
15,UVL01,15,0
16,UVL01,16,0.24
17,UVL01,17,0
18,UVL01,18,0
19,UVL01,19,0
20,UVL01,20,0.3
21,UVL02,1,0
22,UVL02,2,0
23,UVL02,3,0.03
24,UVL02,4,0
25,UVL02,5,0
26,UVL02,6,0.06
27,UVL02,7,0
28,UVL02,8,0
29,UVL02,9,0.09
30,UVL02,10,0
31,UVL02,11,0
32,UVL02,12,0.12
33,UVL02,13,0
34,UVL02,14,0
35,UVL02,15,0.15
36,UVL02,16,0
37,UVL02,17,0
38,UVL02,18,0.18
39,UVL02,19,0
40,UVL02,20,0
41,UVL03,1,0
42,UVL03,2,0
43,UVL03,3,0.03
44,UVL03,4,0
45,UVL03,5,0
46,UVL03,6,0.04
47,UVL03,7,0
48,UVL03,8,0
49,UVL03,9,0.05
50,UVL03,10,0
51,UVL03,11,0
52,UVL03,12,0.06
53,UVL03,13,0
54,UVL03,14,0
55,UVL03,15,0.07
56,UVL03,16,0
57,UVL03,17,0
58,UVL03,18,0.08
59,UVL03,19,0
60,UVL03,20,0
61,ILP01,1,0
62,ILP01,2,0
63,ILP01,3,0
64,ILP01,4,0.06
65,ILP01,5,0
66,ILP01,6,0
67,ILP01,7,0
68,ILP01,8,0.12
69,ILP01,9,0
70,ILP01,10,0
71,ILP01,11,0
72,ILP01,12,0.18
73,ILP01,13,0
74,ILP01,14,0
75,ILP01,15,0
76,ILP01,16,0.24
77,ILP01,17,0
78,ILP01,18,0
79,ILP01,19,0
80,ILP01,20,0.3
