id,product,age,gender,rate
1,UVL01,0,1,10.61280
2,UVL01,1,1,10.70627
3,UVL01,2,1,10.85802
4,UVL01,3,1,11.01681
5,UVL01,4,1,11.18264
6,UVL01,5,1,11.35751
7,UVL01,6,1,11.54042
8,UVL01,7,1,11.73237
9,UVL01,8,1,11.93438
10,UVL01,9,1,12.14643
11,UVL01,10,1,12.36753
12,UVL01,11,1,12.59768
13,UVL01,12,1,12.83586
14,UVL01,13,1,13.08008
15,UVL01,14,1,13.33032
16,UVL01,15,1,13.58559
17,UVL01,16,1,13.84488
18,UVL01,17,1,14.11020
19,UVL01,18,1,14.38256
20,UVL01,19,1,14.66396
21,UVL01,20,1,14.95541
22,UVL01,21,1,15.25992
23,UVL01,22,1,15.57951
24,UVL01,23,1,15.91518
25,UVL01,24,1,16.26894
26,UVL01,25,1,16.64180
27,UVL01,26,1,17.03576
28,UVL01,27,1,17.45082
29,UVL01,28,1,17.88800
30,UVL01,29,1,18.34929
31,UVL01,30,1,18.83471
32,UVL01,31,1,19.34525
33,UVL01,32,1,19.88192
34,UVL01,33,1,20.44673
35,UVL01,34,1,21.04068
36,UVL01,35,1,21.66579
37,UVL01,36,1,22.32206
38,UVL01,37,1,23.01350
39,UVL01,38,1,23.73911
40,UVL01,39,1,24.50291
41,UVL01,40,1,25.30590
42,UVL01,41,1,26.15010
43,UVL01,42,1,27.03953
44,UVL01,43,1,27.97518
45,UVL01,44,1,28.96209
46,UVL01,45,1,30.00227
47,UVL01,46,1,31.10174
48,UVL01,47,1,32.26352
49,UVL01,48,1,33.49364
50,UVL01,49,1,34.79813
51,UVL01,50,1,36.18201
52,UVL01,51,1,37.65132
53,UVL01,52,1,39.21108
54,UVL01,53,1,40.86531
55,UVL01,54,1,42.62205
56,UVL01,55,1,44.48633
57,UVL01,56,1,46.46919
58,UVL01,57,1,48.57969
59,UVL01,58,1,50.83290
60,UVL01,59,1,53.24289
61,UVL01,60,1,55.82373
62,UVL01,61,1,58.59050
63,UVL01,62,1,61.55625
64,UVL01,63,1,64.73406
65,UVL01,64,1,68.14001
66,UVL01,65,1,71.79017
67,UVL01,0,2,10.61280
68,UVL01,1,2,10.70627
69,UVL01,2,2,10.85802
70,UVL01,3,2,11.01681
71,UVL01,4,2,11.18264
72,UVL01,5,2,11.35751
73,UVL01,6,2,11.54042
74,UVL01,7,2,11.73237
75,UVL01,8,2,11.93438
76,UVL01,9,2,12.14643
77,UVL01,10,2,12.36753
78,UVL01,11,2,12.59768
79,UVL01,12,2,12.83586
80,UVL01,13,2,13.08008
81,UVL01,14,2,13.33032
82,UVL01,15,2,13.58559
83,UVL01,16,2,13.84488
84,UVL01,17,2,14.11020
85,UVL01,18,2,14.38256
86,UVL01,19,2,14.66396
87,UVL01,20,2,14.95541
88,UVL01,21,2,15.25992
89,UVL01,22,2,15.57951
90,UVL01,23,2,15.91518
91,UVL01,24,2,16.26894
92,UVL01,25,2,16.64180
93,UVL01,26,2,17.03576
94,UVL01,27,2,17.45082
95,UVL01,28,2,17.88800
96,UVL01,29,2,18.34929
97,UVL01,30,2,18.83471
98,UVL01,31,2,19.34525
99,UVL01,32,2,19.88192
100,UVL01,33,2,20.44673
101,UVL01,34,2,21.04068
102,UVL01,35,2,21.66579
103,UVL01,36,2,22.32206
104,UVL01,37,2,23.01350
105,UVL01,38,2,23.73911
106,UVL01,39,2,24.50291
107,UVL01,40,2,25.30590
108,UVL01,41,2,26.15010
109,UVL01,42,2,27.03953
110,UVL01,43,2,27.97518
111,UVL01,44,2,28.96209
112,UVL01,45,2,30.00227
113,UVL01,46,2,31.10174
114,UVL01,47,2,32.26352
115,UVL01,48,2,33.49364
116,UVL01,49,2,34.79813
117,UVL01,50,2,36.18201
118,UVL01,51,2,37.65132
119,UVL01,52,2,39.21108
120,UVL01,53,2,40.86531
121,UVL01,54,2,42.62205
122,UVL01,55,2,44.48633
123,UVL01,56,2,46.46919
124,UVL01,57,2,48.57969
125,UVL01,58,2,50.83290
126,UVL01,59,2,53.24289
127,UVL01,60,2,55.82373
128,UVL01,61,2,58.59050
129,UVL01,62,2,61.55625
130,UVL01,63,2,64.73406
131,UVL01,64,2,68.14001
132,UVL01,65,2,71.79017
133,UVL02,0,1,10.61280
134,UVL02,1,1,10.70627
135,UVL02,2,1,10.85802
136,UVL02,3,1,11.01681
137,UVL02,4,1,11.18264
138,UVL02,5,1,11.35751
139,UVL02,6,1,11.54042
140,UVL02,7,1,11.73237
141,UVL02,8,1,11.93438
142,UVL02,9,1,12.14643
143,UVL02,10,1,12.36753
144,UVL02,11,1,12.59768
145,UVL02,12,1,12.83586
146,UVL02,13,1,13.08008
147,UVL02,14,1,13.33032
148,UVL02,15,1,13.58559
149,UVL02,16,1,13.84488
150,UVL02,17,1,14.11020
151,UVL02,18,1,14.38256
152,UVL02,19,1,14.66396
153,UVL02,20,1,14.95541
154,UVL02,21,1,15.25992
155,UVL02,22,1,15.57951
156,UVL02,23,1,15.91518
157,UVL02,24,1,16.26894
158,UVL02,25,1,16.64180
159,UVL02,26,1,17.03576
160,UVL02,27,1,17.45082
161,UVL02,28,1,17.88800
162,UVL02,29,1,18.34929
163,UVL02,30,1,18.83471
164,UVL02,31,1,19.34525
165,UVL02,32,1,19.88192
166,UVL02,33,1,20.44673
167,UVL02,34,1,21.04068
168,UVL02,35,1,21.66579
169,UVL02,36,1,22.32206
170,UVL02,37,1,23.01350
171,UVL02,38,1,23.73911
172,UVL02,39,1,24.50291
173,UVL02,40,1,25.30590
174,UVL02,41,1,26.15010
175,UVL02,42,1,27.03953
176,UVL02,43,1,27.97518
177,UVL02,44,1,28.96209
178,UVL02,45,1,30.00227
179,UVL02,46,1,31.10174
180,UVL02,47,1,32.26352
181,UVL02,48,1,33.49364
182,UVL02,49,1,34.79813
183,UVL02,50,1,36.18201
184,UVL02,51,1,37.65132
185,UVL02,52,1,39.21108
186,UVL02,53,1,40.86531
187,UVL02,54,1,42.62205
188,UVL02,55,1,44.48633
189,UVL02,56,1,46.46919
190,UVL02,57,1,48.57969
191,UVL02,58,1,50.83290
192,UVL02,59,1,53.24289
193,UVL02,60,1,55.82373
194,UVL02,61,1,58.59050
195,UVL02,62,1,61.55625
196,UVL02,63,1,64.73406
197,UVL02,64,1,68.14001
198,UVL02,65,1,71.79017
199,UVL02,0,2,10.61280
200,UVL02,1,2,10.70627
201,UVL02,2,2,10.85802
